"=""2019-09-04""",3
"=""2019-09-05""",81
"=""2019-09-06""",4570
"=""2019-09-06""",195
"=""2019-09-06""",10
"=""2019-09-06""",11
"=""2019-09-06""",247
"=""2019-09-06""",1
"=""2019-09-06""",6
"=""2019-09-06""",23
"=""2019-09-06""",5
"=""2019-09-07""",217
"=""2019-09-10""",499
"=""2019-09-11""",781
"=""2019-09-12""",517
"=""2019-09-13""",3525
"=""2019-09-13""",2542
"=""2019-09-13""",111
"=""2019-09-13""",36
"=""2019-09-13""",13
"=""2019-09-13""",50
"=""2019-09-13""",4
"=""2019-09-13""",10
"=""2019-09-13""",7
"=""2019-09-13""",2
"=""2019-09-13""",3
"=""2019-09-13""",31
"=""2019-09-13""",2
"=""2019-09-13""",1
"=""2019-09-13""",12
"=""2019-09-13""",0
"=""2019-09-13""",0
"=""2019-09-13""",0
"=""2019-09-15""",627
"=""2019-09-15""",179
"=""2019-09-16""",667
"=""2019-09-16""",610
"=""2019-09-17""",701
"=""2019-09-18""",7
"=""2019-09-20""",3618
"=""2019-09-20""",3460
"=""2019-09-20""",3548
"=""2019-09-20""",100
"=""2019-09-20""",32
"=""2019-09-20""",22
"=""2019-09-20""",13
"=""2019-09-20""",11
"=""2019-09-20""",66
"=""2019-09-20""",11
"=""2019-09-20""",37
"=""2019-09-20""",11
"=""2019-09-20""",0
"=""2019-09-22""",669
"=""2019-09-23""",1586
"=""2019-09-25""",110
"=""2019-09-27""",4248
"=""2019-09-27""",1627
"=""2019-09-27""",105
"=""2019-09-27""",30
"=""2019-09-27""",30
"=""2019-09-27""",5
"=""2019-09-27""",3
"=""2019-09-27""",10
"=""2019-09-27""",40
"=""2019-09-27""",2
"=""2019-09-27""",1
"=""2019-09-27""",1
"=""2019-09-27""",0
"=""2019-09-27""",0
"=""2019-09-28""",239
"=""2019-09-29""",750
"=""2019-09-30""",102
"=""2019-09-27""",1627
"=""2019-10-01""",83
"=""2019-10-02""",497
"=""2019-10-02""",305
"=""2019-10-02""",1
"=""2019-10-04""",4374
"=""2019-10-04""",231
"=""2019-10-04""",21
"=""2019-10-04""",19
"=""2019-10-04""",4
"=""2019-10-04""",266
"=""2019-10-04""",22
"=""2019-10-04""",20
"=""2019-10-04""",1
"=""2019-10-04""",1
"=""2019-10-04""",7
"=""2019-10-04""",297
"=""2019-10-06""",546
"=""2019-10-08""",0
"=""2019-10-09""",655
"=""2019-10-09""",53
"=""2019-10-09""",125
"=""2019-10-11""",4107
"=""2019-10-11""",3642
"=""2019-10-11""",2332
"=""2019-10-11""",194
"=""2019-10-11""",106
"=""2019-10-11""",10
"=""2019-10-11""",2001
"=""2019-10-11""",3
"=""2019-10-11""",10
"=""2019-10-11""",1
"=""2019-10-11""",1
"=""2019-10-12""",0
"=""2019-10-13""",682
"=""2019-10-14""",438
"=""2019-10-14""",2
"=""2019-10-15""",788
"=""2019-10-16""",3
"=""2019-10-18""",3820
"=""2019-10-18""",3468
"=""2019-10-18""",47
"=""2019-10-18""",12
"=""2019-10-18""",978
"=""2019-10-18""",1173
"=""2019-10-18""",36
"=""2019-10-18""",11
"=""2019-10-18""",10
"=""2019-10-18""",2
"=""2019-10-21""",459
"=""2019-10-22""",0
"=""2019-10-24""",541
"=""2019-10-24""",722
"=""2019-10-24""",6
"=""2019-10-25""",2675
"=""2019-10-25""",2062
"=""2019-10-25""",1082
"=""2019-10-25""",372
"=""2019-10-25""",553
"=""2019-10-25""",315
"=""2019-10-25""",117
"=""2019-10-25""",3
"=""2019-10-25""",11
"=""2019-10-25""",13
"=""2019-10-25""",200
